user_input,retrieved_contexts,response,reference,answer_relevancy,context_precision,faithfulness,context_recall
What does sustainable development mean?,"[""Sustainable Development\nA Guide for Everyone\nWhat is Sustainable Development?\nSustainable development means using the earth's resources in a way that meets the needs of\npeople today, without taking away the ability of future generations to meet their own needs. In\nother words, we should live well now, but not at the cost of those who come after us.\nThink of it like a bank account. If you spend all your savings today, you leave nothing for\ntomorrow. Sustainable development is about finding a balance so that people now and in the\nfuture can all live well.\nThe Three Pillars\nSustainable development rests on three main areas that must work together:\n  - Economic growth: People need jobs, income, and the chance to build a good life. Growth"", 'clean energy.\nGovernments set the rules that shape what is possible. They can create laws that protect the\nenvironment, invest in clean transport and energy systems, provide good schools and healthcare,\nand make sure that the benefits of growth are shared fairly.\nConclusion\nSustainable development is about building a world where both people and the planet can thrive. It\nasks us to think beyond today and consider the world we will leave behind.\nThe 17 Global Goals, the Paris Agreement, and ideas like the circular economy all point in the\nsame direction: a future where no one is left behind and the natural world is healthy enough to\nsupport life for generations to come.\nEach one of us, in our own way, can be part of this change.', '- Sharing: Borrowing tools or renting items you only need occasionally, rather than buying and\nowning everything.\n  - Buying second-hand: Giving items a second life instead of producing new ones from scratch.\nA Fair Society for Everyone\nSustainable development is not just about the environment. It is also about making sure that all\npeople can live with dignity and have their basic needs met.\nSocial equity means that no person should be left without the essentials of a good life. Everyone\nshould have access to:\n  - Clean, safe drinking water\n  - Basic education and the chance to learn\n  - Healthcare when they are sick\n  - A safe home and enough food to eat\nGender equality is also a key part of this. When women and girls have the same rights and', 'What Can We Do?\nSustainable development is not only the job of governments or big companies. Every person\nplays a part.\nAs individuals, we can:\n  - Reduce the energy we use at home by switching off lights and using efficient appliances\n  - Choose public transport, cycling, or walking instead of driving when we can\n  - Buy less and choose products that are made to last or made in a responsible way\n  - Avoid wasting food and compost what we do not use\nBusinesses have an important role too. Companies can choose suppliers who treat workers fairly,\nreduce the pollution they produce, design products that can be repaired or recycled, and invest in\nclean energy.\nGovernments set the rules that shape what is possible. They can create laws that protect the']","Sustainable development means using the earth's resources so that people today can meet their needs without taking away the ability of future generations to meet theirs — in other words, living well now without harming those who come after us (like not spending all your savings today).",Development that meets today's needs without preventing future generations from meeting their own needs,,0.999999999975,1.0,1.0
What are the three pillars of sustainable development?,"[""Sustainable Development\nA Guide for Everyone\nWhat is Sustainable Development?\nSustainable development means using the earth's resources in a way that meets the needs of\npeople today, without taking away the ability of future generations to meet their own needs. In\nother words, we should live well now, but not at the cost of those who come after us.\nThink of it like a bank account. If you spend all your savings today, you leave nothing for\ntomorrow. Sustainable development is about finding a balance so that people now and in the\nfuture can all live well.\nThe Three Pillars\nSustainable development rests on three main areas that must work together:\n  - Economic growth: People need jobs, income, and the chance to build a good life. Growth"", '- Economic growth: People need jobs, income, and the chance to build a good life. Growth\nshould create opportunities for everyone, not just a few.\n  - Social inclusion: Every person should have fair access to education, healthcare, food, water,\nand a safe place to live. No one should be left behind.\n  - Environmental protection: We must take care of the natural world. Clean air, clean water,\nhealthy forests, and a stable climate are essential for all life on earth.', 'clean energy.\nGovernments set the rules that shape what is possible. They can create laws that protect the\nenvironment, invest in clean transport and energy systems, provide good schools and healthcare,\nand make sure that the benefits of growth are shared fairly.\nConclusion\nSustainable development is about building a world where both people and the planet can thrive. It\nasks us to think beyond today and consider the world we will leave behind.\nThe 17 Global Goals, the Paris Agreement, and ideas like the circular economy all point in the\nsame direction: a future where no one is left behind and the natural world is healthy enough to\nsupport life for generations to come.\nEach one of us, in our own way, can be part of this change.', '- Sharing: Borrowing tools or renting items you only need occasionally, rather than buying and\nowning everything.\n  - Buying second-hand: Giving items a second life instead of producing new ones from scratch.\nA Fair Society for Everyone\nSustainable development is not just about the environment. It is also about making sure that all\npeople can live with dignity and have their basic needs met.\nSocial equity means that no person should be left without the essentials of a good life. Everyone\nshould have access to:\n  - Clean, safe drinking water\n  - Basic education and the chance to learn\n  - Healthcare when they are sick\n  - A safe home and enough food to eat\nGender equality is also a key part of this. When women and girls have the same rights and']","The three pillars are:
- Economic growth
- Social inclusion
- Environmental protection","Economic growth, social inclusion, and environmental protection",,0.9999999999666667,1.0,1.0
How many global goals did countries agree on in the 2030 Agenda?,"['The 17 Global Goals\nIn 2015, countries from around the world came together and agreed on 17 Sustainable\nDevelopment Goals, also called the SDGs. These goals form a plan called the 2030 Agenda\nbecause all countries agreed to try to reach them by the year 2030.\nThe goals cover a wide range of topics:\n  - No poverty and no hunger\n  - Good health and quality education for all\n  - Clean water and clean energy for everyone\n  - Decent work and fair economic growth\n  - Reduced inequality between people and countries\n  - Climate action and protection of oceans and land\nBy working on all 17 goals together, the world can move toward a future where every person can\nlive with dignity and opportunity.\nClimate Change', 'By working on all 17 goals together, the world can move toward a future where every person can\nlive with dignity and opportunity.\nClimate Change\nClimate change is one of the biggest challenges we face. The earth is getting warmer because\nwe burn too much coal, oil, and gas, which releases gases that trap heat in the air.\nIn 2015, countries signed the Paris Agreement, a promise to work together to slow down global\nwarming. The main target is to keep the earth from warming more than 1.5 degrees Celsius\ncompared to temperatures before the industrial age.\nIf the earth warms by more than 1.5 degrees Celsius, the risks of serious problems become much\ngreater. We would see more floods, longer droughts, stronger storms, and rising sea levels. To', 'clean energy.\nGovernments set the rules that shape what is possible. They can create laws that protect the\nenvironment, invest in clean transport and energy systems, provide good schools and healthcare,\nand make sure that the benefits of growth are shared fairly.\nConclusion\nSustainable development is about building a world where both people and the planet can thrive. It\nasks us to think beyond today and consider the world we will leave behind.\nThe 17 Global Goals, the Paris Agreement, and ideas like the circular economy all point in the\nsame direction: a future where no one is left behind and the natural world is healthy enough to\nsupport life for generations to come.\nEach one of us, in our own way, can be part of this change.', 'greater. We would see more floods, longer droughts, stronger storms, and rising sea levels. To\nmeet this goal, countries need to use much less fossil fuel and switch to clean sources of energy\nlike solar and wind power.']",They agreed on 17 global goals.,17 Sustainable Development Goals,,0.9999999999666667,1.0,1.0
What is the Paris Agreement's temperature target?,"['By working on all 17 goals together, the world can move toward a future where every person can\nlive with dignity and opportunity.\nClimate Change\nClimate change is one of the biggest challenges we face. The earth is getting warmer because\nwe burn too much coal, oil, and gas, which releases gases that trap heat in the air.\nIn 2015, countries signed the Paris Agreement, a promise to work together to slow down global\nwarming. The main target is to keep the earth from warming more than 1.5 degrees Celsius\ncompared to temperatures before the industrial age.\nIf the earth warms by more than 1.5 degrees Celsius, the risks of serious problems become much\ngreater. We would see more floods, longer droughts, stronger storms, and rising sea levels. To', 'The 17 Global Goals\nIn 2015, countries from around the world came together and agreed on 17 Sustainable\nDevelopment Goals, also called the SDGs. These goals form a plan called the 2030 Agenda\nbecause all countries agreed to try to reach them by the year 2030.\nThe goals cover a wide range of topics:\n  - No poverty and no hunger\n  - Good health and quality education for all\n  - Clean water and clean energy for everyone\n  - Decent work and fair economic growth\n  - Reduced inequality between people and countries\n  - Climate action and protection of oceans and land\nBy working on all 17 goals together, the world can move toward a future where every person can\nlive with dignity and opportunity.\nClimate Change', 'greater. We would see more floods, longer droughts, stronger storms, and rising sea levels. To\nmeet this goal, countries need to use much less fossil fuel and switch to clean sources of energy\nlike solar and wind power.', 'clean energy.\nGovernments set the rules that shape what is possible. They can create laws that protect the\nenvironment, invest in clean transport and energy systems, provide good schools and healthcare,\nand make sure that the benefits of growth are shared fairly.\nConclusion\nSustainable development is about building a world where both people and the planet can thrive. It\nasks us to think beyond today and consider the world we will leave behind.\nThe 17 Global Goals, the Paris Agreement, and ideas like the circular economy all point in the\nsame direction: a future where no one is left behind and the natural world is healthy enough to\nsupport life for generations to come.\nEach one of us, in our own way, can be part of this change.']",To keep global warming to no more than 1.5 degrees Celsius above pre‑industrial temperatures.,Limit global warming to 1.5 degrees Celsius above pre-industrial levels,,0.9999999999,1.0,1.0
What does a circular economy try to reduce?,"['The Circular Economy\nMost of the time, we follow a straight-line pattern: we make something, use it, and then throw it\naway. This creates a lot of waste and uses up natural resources quickly.\nA circular economy works differently. The idea is to keep things in use for as long as possible and\nproduce as little waste as we can. Instead of throwing things away, we fix them, share them, or\nrecycle them.\nHere are some simple examples of circular economy actions:\n  - Recycling: Turning old paper, glass, or plastic into new materials instead of sending them to\nlandfill.\n  - Repairing: Fixing a broken phone or a torn piece of clothing instead of buying new ones.\n  - Sharing: Borrowing tools or renting items you only need occasionally, rather than buying and\nowning everything.', 'What Can We Do?\nSustainable development is not only the job of governments or big companies. Every person\nplays a part.\nAs individuals, we can:\n  - Reduce the energy we use at home by switching off lights and using efficient appliances\n  - Choose public transport, cycling, or walking instead of driving when we can\n  - Buy less and choose products that are made to last or made in a responsible way\n  - Avoid wasting food and compost what we do not use\nBusinesses have an important role too. Companies can choose suppliers who treat workers fairly,\nreduce the pollution they produce, design products that can be repaired or recycled, and invest in\nclean energy.\nGovernments set the rules that shape what is possible. They can create laws that protect the', '- Sharing: Borrowing tools or renting items you only need occasionally, rather than buying and\nowning everything.\n  - Buying second-hand: Giving items a second life instead of producing new ones from scratch.\nA Fair Society for Everyone\nSustainable development is not just about the environment. It is also about making sure that all\npeople can live with dignity and have their basic needs met.\nSocial equity means that no person should be left without the essentials of a good life. Everyone\nshould have access to:\n  - Clean, safe drinking water\n  - Basic education and the chance to learn\n  - Healthcare when they are sick\n  - A safe home and enough food to eat\nGender equality is also a key part of this. When women and girls have the same rights and', 'clean energy.\nGovernments set the rules that shape what is possible. They can create laws that protect the\nenvironment, invest in clean transport and energy systems, provide good schools and healthcare,\nand make sure that the benefits of growth are shared fairly.\nConclusion\nSustainable development is about building a world where both people and the planet can thrive. It\nasks us to think beyond today and consider the world we will leave behind.\nThe 17 Global Goals, the Paris Agreement, and ideas like the circular economy all point in the\nsame direction: a future where no one is left behind and the natural world is healthy enough to\nsupport life for generations to come.\nEach one of us, in our own way, can be part of this change.']",A circular economy tries to reduce waste — keeping things in use longer so we produce as little waste as possible.,"Waste, by keeping products and materials in use for as long as possible",,0.99999999995,1.0,1.0
What are two examples of circular economy actions?,"['The Circular Economy\nMost of the time, we follow a straight-line pattern: we make something, use it, and then throw it\naway. This creates a lot of waste and uses up natural resources quickly.\nA circular economy works differently. The idea is to keep things in use for as long as possible and\nproduce as little waste as we can. Instead of throwing things away, we fix them, share them, or\nrecycle them.\nHere are some simple examples of circular economy actions:\n  - Recycling: Turning old paper, glass, or plastic into new materials instead of sending them to\nlandfill.\n  - Repairing: Fixing a broken phone or a torn piece of clothing instead of buying new ones.\n  - Sharing: Borrowing tools or renting items you only need occasionally, rather than buying and\nowning everything.', 'What Can We Do?\nSustainable development is not only the job of governments or big companies. Every person\nplays a part.\nAs individuals, we can:\n  - Reduce the energy we use at home by switching off lights and using efficient appliances\n  - Choose public transport, cycling, or walking instead of driving when we can\n  - Buy less and choose products that are made to last or made in a responsible way\n  - Avoid wasting food and compost what we do not use\nBusinesses have an important role too. Companies can choose suppliers who treat workers fairly,\nreduce the pollution they produce, design products that can be repaired or recycled, and invest in\nclean energy.\nGovernments set the rules that shape what is possible. They can create laws that protect the', '- Sharing: Borrowing tools or renting items you only need occasionally, rather than buying and\nowning everything.\n  - Buying second-hand: Giving items a second life instead of producing new ones from scratch.\nA Fair Society for Everyone\nSustainable development is not just about the environment. It is also about making sure that all\npeople can live with dignity and have their basic needs met.\nSocial equity means that no person should be left without the essentials of a good life. Everyone\nshould have access to:\n  - Clean, safe drinking water\n  - Basic education and the chance to learn\n  - Healthcare when they are sick\n  - A safe home and enough food to eat\nGender equality is also a key part of this. When women and girls have the same rights and', 'clean energy.\nGovernments set the rules that shape what is possible. They can create laws that protect the\nenvironment, invest in clean transport and energy systems, provide good schools and healthcare,\nand make sure that the benefits of growth are shared fairly.\nConclusion\nSustainable development is about building a world where both people and the planet can thrive. It\nasks us to think beyond today and consider the world we will leave behind.\nThe 17 Global Goals, the Paris Agreement, and ideas like the circular economy all point in the\nsame direction: a future where no one is left behind and the natural world is healthy enough to\nsupport life for generations to come.\nEach one of us, in our own way, can be part of this change.']",Recycling and repairing.,Recycling and repairing products instead of throwing them away,,0.9999999999,1.0,1.0
What basic needs are highlighted under social equity?,"['- Sharing: Borrowing tools or renting items you only need occasionally, rather than buying and\nowning everything.\n  - Buying second-hand: Giving items a second life instead of producing new ones from scratch.\nA Fair Society for Everyone\nSustainable development is not just about the environment. It is also about making sure that all\npeople can live with dignity and have their basic needs met.\nSocial equity means that no person should be left without the essentials of a good life. Everyone\nshould have access to:\n  - Clean, safe drinking water\n  - Basic education and the chance to learn\n  - Healthcare when they are sick\n  - A safe home and enough food to eat\nGender equality is also a key part of this. When women and girls have the same rights and', '- Economic growth: People need jobs, income, and the chance to build a good life. Growth\nshould create opportunities for everyone, not just a few.\n  - Social inclusion: Every person should have fair access to education, healthcare, food, water,\nand a safe place to live. No one should be left behind.\n  - Environmental protection: We must take care of the natural world. Clean air, clean water,\nhealthy forests, and a stable climate are essential for all life on earth.', '- A safe home and enough food to eat\nGender equality is also a key part of this. When women and girls have the same rights and\nopportunities as men and boys, whole communities become healthier, more educated, and more\nprosperous.', ""Sustainable Development\nA Guide for Everyone\nWhat is Sustainable Development?\nSustainable development means using the earth's resources in a way that meets the needs of\npeople today, without taking away the ability of future generations to meet their own needs. In\nother words, we should live well now, but not at the cost of those who come after us.\nThink of it like a bank account. If you spend all your savings today, you leave nothing for\ntomorrow. Sustainable development is about finding a balance so that people now and in the\nfuture can all live well.\nThe Three Pillars\nSustainable development rests on three main areas that must work together:\n  - Economic growth: People need jobs, income, and the chance to build a good life. Growth""]","They are:
- Clean, safe drinking water
- Basic education and the chance to learn
- Healthcare when they are sick
- A safe home and enough food to eat","Access to clean water, basic education, and healthcare for all people",,0.99999999995,1.0,1.0
What role do individuals play in sustainable development?,"['What Can We Do?\nSustainable development is not only the job of governments or big companies. Every person\nplays a part.\nAs individuals, we can:\n  - Reduce the energy we use at home by switching off lights and using efficient appliances\n  - Choose public transport, cycling, or walking instead of driving when we can\n  - Buy less and choose products that are made to last or made in a responsible way\n  - Avoid wasting food and compost what we do not use\nBusinesses have an important role too. Companies can choose suppliers who treat workers fairly,\nreduce the pollution they produce, design products that can be repaired or recycled, and invest in\nclean energy.\nGovernments set the rules that shape what is possible. They can create laws that protect the', 'clean energy.\nGovernments set the rules that shape what is possible. They can create laws that protect the\nenvironment, invest in clean transport and energy systems, provide good schools and healthcare,\nand make sure that the benefits of growth are shared fairly.\nConclusion\nSustainable development is about building a world where both people and the planet can thrive. It\nasks us to think beyond today and consider the world we will leave behind.\nThe 17 Global Goals, the Paris Agreement, and ideas like the circular economy all point in the\nsame direction: a future where no one is left behind and the natural world is healthy enough to\nsupport life for generations to come.\nEach one of us, in our own way, can be part of this change.', ""Sustainable Development\nA Guide for Everyone\nWhat is Sustainable Development?\nSustainable development means using the earth's resources in a way that meets the needs of\npeople today, without taking away the ability of future generations to meet their own needs. In\nother words, we should live well now, but not at the cost of those who come after us.\nThink of it like a bank account. If you spend all your savings today, you leave nothing for\ntomorrow. Sustainable development is about finding a balance so that people now and in the\nfuture can all live well.\nThe Three Pillars\nSustainable development rests on three main areas that must work together:\n  - Economic growth: People need jobs, income, and the chance to build a good life. Growth"", '- Sharing: Borrowing tools or renting items you only need occasionally, rather than buying and\nowning everything.\n  - Buying second-hand: Giving items a second life instead of producing new ones from scratch.\nA Fair Society for Everyone\nSustainable development is not just about the environment. It is also about making sure that all\npeople can live with dignity and have their basic needs met.\nSocial equity means that no person should be left without the essentials of a good life. Everyone\nshould have access to:\n  - Clean, safe drinking water\n  - Basic education and the chance to learn\n  - Healthcare when they are sick\n  - A safe home and enough food to eat\nGender equality is also a key part of this. When women and girls have the same rights and']","Individuals can help by changing everyday habits and choices. According to the text, people can:
- Reduce energy use at home (switch off lights, use efficient appliances).
- Use sustainable transport (public transport, cycling, walking instead of driving).
- Buy less and choose durable or responsibly made products.
- Avoid food waste and compost leftovers.
- Share or rent items instead of owning everything and buy second‑hand when possible.

Each person’s actions contribute to the broader shift toward sustainable development.","Individuals can reduce waste, save energy, and make eco-friendly choices",,0.9999999999666667,1.0,1.0
Why is limiting global warming to 1.5 degrees Celsius important?,"['By working on all 17 goals together, the world can move toward a future where every person can\nlive with dignity and opportunity.\nClimate Change\nClimate change is one of the biggest challenges we face. The earth is getting warmer because\nwe burn too much coal, oil, and gas, which releases gases that trap heat in the air.\nIn 2015, countries signed the Paris Agreement, a promise to work together to slow down global\nwarming. The main target is to keep the earth from warming more than 1.5 degrees Celsius\ncompared to temperatures before the industrial age.\nIf the earth warms by more than 1.5 degrees Celsius, the risks of serious problems become much\ngreater. We would see more floods, longer droughts, stronger storms, and rising sea levels. To', 'greater. We would see more floods, longer droughts, stronger storms, and rising sea levels. To\nmeet this goal, countries need to use much less fossil fuel and switch to clean sources of energy\nlike solar and wind power.', 'clean energy.\nGovernments set the rules that shape what is possible. They can create laws that protect the\nenvironment, invest in clean transport and energy systems, provide good schools and healthcare,\nand make sure that the benefits of growth are shared fairly.\nConclusion\nSustainable development is about building a world where both people and the planet can thrive. It\nasks us to think beyond today and consider the world we will leave behind.\nThe 17 Global Goals, the Paris Agreement, and ideas like the circular economy all point in the\nsame direction: a future where no one is left behind and the natural world is healthy enough to\nsupport life for generations to come.\nEach one of us, in our own way, can be part of this change.', 'The 17 Global Goals\nIn 2015, countries from around the world came together and agreed on 17 Sustainable\nDevelopment Goals, also called the SDGs. These goals form a plan called the 2030 Agenda\nbecause all countries agreed to try to reach them by the year 2030.\nThe goals cover a wide range of topics:\n  - No poverty and no hunger\n  - Good health and quality education for all\n  - Clean water and clean energy for everyone\n  - Decent work and fair economic growth\n  - Reduced inequality between people and countries\n  - Climate action and protection of oceans and land\nBy working on all 17 goals together, the world can move toward a future where every person can\nlive with dignity and opportunity.\nClimate Change']","Because beyond 1.5°C of warming the risks of serious impacts rise sharply. Exceeding it would lead to more floods, longer droughts, stronger storms and higher sea levels. Limiting warming to 1.5°C (the Paris Agreement target) therefore helps avoid those severe problems and requires cutting fossil fuel use and switching to clean energy.","Beyond 1.5 degrees Celsius, risks of floods, droughts, and extreme weather increase significantly",,0.99999999995,1.0,1.0
What is the target year for the Sustainable Development Goals?,"['The 17 Global Goals\nIn 2015, countries from around the world came together and agreed on 17 Sustainable\nDevelopment Goals, also called the SDGs. These goals form a plan called the 2030 Agenda\nbecause all countries agreed to try to reach them by the year 2030.\nThe goals cover a wide range of topics:\n  - No poverty and no hunger\n  - Good health and quality education for all\n  - Clean water and clean energy for everyone\n  - Decent work and fair economic growth\n  - Reduced inequality between people and countries\n  - Climate action and protection of oceans and land\nBy working on all 17 goals together, the world can move toward a future where every person can\nlive with dignity and opportunity.\nClimate Change', 'clean energy.\nGovernments set the rules that shape what is possible. They can create laws that protect the\nenvironment, invest in clean transport and energy systems, provide good schools and healthcare,\nand make sure that the benefits of growth are shared fairly.\nConclusion\nSustainable development is about building a world where both people and the planet can thrive. It\nasks us to think beyond today and consider the world we will leave behind.\nThe 17 Global Goals, the Paris Agreement, and ideas like the circular economy all point in the\nsame direction: a future where no one is left behind and the natural world is healthy enough to\nsupport life for generations to come.\nEach one of us, in our own way, can be part of this change.', ""Sustainable Development\nA Guide for Everyone\nWhat is Sustainable Development?\nSustainable development means using the earth's resources in a way that meets the needs of\npeople today, without taking away the ability of future generations to meet their own needs. In\nother words, we should live well now, but not at the cost of those who come after us.\nThink of it like a bank account. If you spend all your savings today, you leave nothing for\ntomorrow. Sustainable development is about finding a balance so that people now and in the\nfuture can all live well.\nThe Three Pillars\nSustainable development rests on three main areas that must work together:\n  - Economic growth: People need jobs, income, and the chance to build a good life. Growth"", 'By working on all 17 goals together, the world can move toward a future where every person can\nlive with dignity and opportunity.\nClimate Change\nClimate change is one of the biggest challenges we face. The earth is getting warmer because\nwe burn too much coal, oil, and gas, which releases gases that trap heat in the air.\nIn 2015, countries signed the Paris Agreement, a promise to work together to slow down global\nwarming. The main target is to keep the earth from warming more than 1.5 degrees Celsius\ncompared to temperatures before the industrial age.\nIf the earth warms by more than 1.5 degrees Celsius, the risks of serious problems become much\ngreater. We would see more floods, longer droughts, stronger storms, and rising sea levels. To']",The target year is 2030.,2030,,0.9999999999,1.0,1.0
